2026-06-11T07:18:02.420290993Z [inf]  Starting Container
2026-06-11T07:18:02.954752634Z [inf]  Weekly cashback scheduled
2026-06-11T07:18:02.954764094Z [inf]  Crash round waiting
2026-06-11T07:18:02.954769784Z [inf]  Synced env vars → DB config (DB was empty; env var values written for admin visibility)
2026-06-11T07:18:02.954774424Z [inf]  Config service initialized
2026-06-11T07:18:02.954778764Z [err]  (node:1) [DEP0169] DeprecationWarning: `url.parse()` behavior is not standardized and prone to errors that have security implications. Use the WHATWG URL API instead. CVEs are not issued for `url.parse()` vulnerabilities.
2026-06-11T07:18:02.954784604Z [inf]  GroupBot scheduler initialized
2026-06-11T07:18:02.954789893Z [inf]  GameBot initialized
2026-06-11T07:18:02.954794903Z [inf]  Serving built frontend
2026-06-11T07:18:02.954798763Z [inf]  Telegram webhook registered
2026-06-11T07:18:02.954801883Z [err]  (node:1) [DEP0040] DeprecationWarning: The `punycode` module is deprecated. Please use a userland alternative instead.
2026-06-11T07:18:02.954806043Z [err]  (Use `node --trace-deprecation ...` to show where the warning was created)
2026-06-11T07:18:02.954808613Z [inf]  Production startup
2026-06-11T07:18:02.954811923Z [inf]  WebSocket server initialized at /ws
2026-06-11T07:18:02.954814593Z [inf]  Server listening
2026-06-11T07:18:02.954816983Z [inf]  Crash engine starting
2026-06-11T07:18:02.954819913Z [inf]  Scheduler started
2026-06-11T07:18:04.156055089Z [inf]  Telegram webhook registered
2026-06-11T07:18:04.156058509Z [inf]  CryptoBot webhook URL (register manually via @CryptoBot → /setwebhook)
2026-06-11T07:18:10.536549916Z [inf]  Crash round started
2026-06-11T07:18:12.633392998Z [inf]  Crash round crashed
2026-06-11T07:18:17.640262044Z [inf]  Crash round waiting
2026-06-11T07:18:25.646617910Z [inf]  Crash round started
2026-06-11T07:18:30.560661213Z [inf]  Crash round crashed
2026-06-11T07:18:35.562757816Z [inf]  Crash round waiting
2026-06-11T07:18:43.577993120Z [inf]  Crash round started
2026-06-11T07:18:44.869403634Z [inf]  Crash round crashed
2026-06-11T07:18:49.876295632Z [inf]  Crash round waiting
2026-06-11T07:18:57.883805800Z [inf]  Crash round started
2026-06-11T07:19:00.993120221Z [inf]  Crash round crashed
2026-06-11T07:19:05.993679696Z [inf]  Crash round waiting
2026-06-11T07:19:14.023926627Z [inf]  Crash round started
2026-06-11T07:19:18.105941872Z [inf]  Crash round crashed
2026-06-11T07:19:23.115565480Z [inf]  Crash round waiting
2026-06-11T07:19:31.119306571Z [inf]  Crash round started
2026-06-11T07:19:33.226771810Z [inf]  Crash round crashed
2026-06-11T07:19:38.234322985Z [inf]  Crash round waiting
2026-06-11T07:19:46.251282973Z [inf]  Crash round started
2026-06-11T07:20:06.216474771Z [inf]  Crash round crashed
2026-06-11T07:20:06.216477821Z [inf]  Crash round waiting
2026-06-11T07:20:13.877856700Z [inf]  Crash round started
2026-06-11T07:20:15.990183685Z [inf]  Crash round crashed
2026-06-11T07:20:20.990366154Z [inf]  Crash round waiting
2026-06-11T07:20:28.994333481Z [inf]  Crash round started
2026-06-11T07:20:30.335562135Z [inf]  Crash round crashed
2026-06-11T07:20:35.352932185Z [inf]  Crash round waiting
2026-06-11T07:20:43.305210762Z [inf]  Crash round started
2026-06-11T07:20:47.314136287Z [inf]  Crash round crashed
2026-06-11T07:20:52.326671256Z [inf]  Crash round waiting
2026-06-11T07:21:00.325286342Z [inf]  Crash round started
2026-06-11T07:21:20.327782747Z [inf]  Crash round crashed
2026-06-11T07:21:20.974522585Z [inf]  Crash round waiting
2026-06-11T07:21:28.973403472Z [inf]  Crash round started
2026-06-11T07:21:31.084187233Z [inf]  Crash round crashed
2026-06-11T07:21:36.089179795Z [inf]  Crash round waiting
2026-06-11T07:21:44.090536172Z [inf]  Crash round started
2026-06-11T07:21:46.194538293Z [inf]  Crash round crashed
2026-06-11T07:21:51.203284407Z [inf]  Crash round waiting
2026-06-11T07:21:59.205149666Z [inf]  Crash round started
2026-06-11T07:22:01.814648302Z [inf]  Crash round crashed
2026-06-11T07:22:06.816600971Z [inf]  Crash round waiting
2026-06-11T07:22:14.820227773Z [inf]  Crash round started
